_constructor_sk_;#constructorId;nome;nacionalidade
1;1;McLaren;British
2;2;BMW Sauber;German
3;3;Williams;British
4;4;Renault;French
5;5;Toro Rosso;Italian
6;6;Ferrari;Italian
7;7;Toyota;Japanese
8;8;Super Aguri;Japanese
9;9;Red Bull;Austrian
10;10;Force India;Indian
11;11;Honda;Japanese
12;12;Spyker;Dutch
13;13;MF1;Russian
14;14;Spyker MF1;Dutch
15;15;Sauber;Swiss
16;16;BAR;British
17;17;Jordan;Irish
18;18;Minardi;Italian
19;19;Jaguar;British
20;20;Prost;French
21;21;Arrows;British
22;22;Benetton;Italian
23;23;Brawn;British
24;24;Stewart;British
25;25;Tyrrell;British
26;26;Lola;British
27;27;Ligier;French
28;28;Forti;Italian
29;29;Footwork;British
30;30;Pacific;British
31;31;Simtek;British
32;32;Team Lotus;British
33;33;Larrousse;French
34;34;Brabham;British
35;35;Dallara;Italian
36;36;Fondmetal;Italian
37;37;March;British
38;38;Andrea Moda;Italian
39;39;AGS;French
40;40;Lambo;Italian
41;41;Leyton House;British
42;42;Coloni;Italian
43;44;Euro Brun;Italian
44;45;Osella;Italian
45;46;Onyx;British
46;47;Life;Italian
47;48;Rial;German
48;49;Zakspeed;German
49;50;RAM;British
50;51;Alfa Romeo;Swiss
51;52;Spirit;British
52;53;Toleman;British
53;54;ATS;Italian
54;55;Theodore;Hong Kong
55;56;Fittipaldi;Brazilian
56;57;Ensign;British
57;58;Shadow;British
58;59;Wolf;Canadian
59;60;Merzario;Italian
60;61;Kauhsen;German
61;62;Rebaque;Mexican
62;63;Surtees;British
63;64;Hesketh;British
64;65;Martini;French
65;66;BRM;British
66;67;Penske;American
67;68;LEC;British
68;69;McGuire;Australian
69;70;Boro;Dutch
70;71;Apollon;Swiss
71;72;Kojima;Japanese
72;73;Parnelli;American
73;74;Maki;Japanese
74;75;Embassy Hill;British
75;76;Lyncar;British
76;77;Trojan;British
77;78;Amon;New Zealander
78;79;Token;British
79;80;Iso Marlboro;British
80;81;Tecno;Italian
81;82;Matra;French
82;83;Politoys;British
83;84;Connew;British
84;85;Bellasi;Swiss
85;86;De Tomaso;Italian
86;87;Cooper;British
87;88;Eagle;American
88;89;LDS;South African
89;90;Protos;British
90;91;Shannon;British
91;92;Scirocco;British
92;93;RE;Rhodesian
93;94;BRP;British
94;95;Porsche;German
95;96;Derrington;British
96;97;Gilby;British
97;98;Stebro;Canadian
98;99;Emeryson;British
99;100;ENB;Belgian
100;101;JBW;British
101;102;Ferguson;British
102;103;MBM;Swiss
103;104;Behra-Porsche;Italian
104;105;Maserati;Italian
105;106;Scarab;American
106;107;Watson;American
107;108;Epperly;American
108;109;Phillips;American
109;110;Lesovsky;American
110;111;Trevis;American
111;112;Meskowski;American
112;113;Kurtis Kraft;American
113;114;Kuzma;American
114;115;Christensen;American
115;116;Ewing;American
116;117;Aston Martin;British
117;118;Vanwall;British
118;119;Moore;American
119;120;Dunn;American
120;121;Elder;American
121;122;Sutton;American
122;123;Fry;British
123;124;Tec-Mec;Italian
124;125;Connaught;British
125;126;Alta;British
126;127;OSCA;Italian
127;128;Gordini;French
128;129;Stevens;American
129;130;Bugatti;French
130;131;Mercedes;German
131;132;Lancia;Italian
132;133;HWM;British
133;134;Schroeder;American
134;135;Pawl;American
135;136;Pankratz;American
136;137;Arzani-Volpini;Italian
137;138;Nichels;American
138;139;Bromme;American
139;140;Klenk;German
140;141;Simca;French
141;142;Turner;American
142;143;Del Roy;American
143;144;Veritas;German
144;145;BMW;German
145;146;EMW;East German
146;147;AFM;German
147;148;Frazer Nash;British
148;149;Sherman;American
149;150;Deidt;American
150;151;ERA;British
151;152;Aston Butterworth;British
152;153;Cisitalia;Italian
153;154;Talbot-Lago;French
154;155;Hall;American
155;156;Marchese;American
156;157;Langley;American
157;158;Rae;American
158;159;Olson;American
159;160;Wetteroth;American
160;161;Adams;American
161;162;Snowberger;American
162;163;Milano;Italian
163;164;HRT;Spanish
164;167;Cooper-Maserati;British
165;166;Virgin;British
166;168;Cooper-OSCA;British
167;169;Cooper-Borgward;British
168;170;Cooper-Climax;British
169;171;Cooper-Castellotti;British
170;172;Lotus-Climax;British
171;173;Lotus-Maserati;British
172;174;De Tomaso-Osca;Italian
173;175;De Tomaso-Alfa Romeo;Italian
174;176;Lotus-BRM;British
175;177;Lotus-Borgward;British
176;178;Cooper-Alfa Romeo;British
177;179;De Tomaso-Ferrari;Italian
178;180;Lotus-Ford;British
179;181;Brabham-BRM;British
180;182;Brabham-Ford;British
181;183;Brabham-Climax;British
182;184;LDS-Climax;South African
183;185;LDS-Alfa Romeo;South African
184;186;Cooper-Ford;British
185;187;McLaren-Ford;British
186;188;McLaren-Serenissima;British
187;189;Eagle-Climax;American
188;190;Eagle-Weslake;American
189;191;Brabham-Repco;British
190;192;Cooper-Ferrari;British
191;193;Cooper-ATS;British
192;194;McLaren-BRM;British
193;195;Cooper-BRM;British
194;196;Matra-Ford;French
195;197;BRM-Ford;British
196;198;McLaren-Alfa Romeo;British
197;199;March-Alfa Romeo;British
198;200;March-Ford;British
199;201;"Lotus-Pratt &amp; Whitney";British
200;202;Shadow-Ford;British
201;203;Shadow-Matra;British
202;204;Brabham-Alfa Romeo;British
203;205;Lotus;Malaysian
204;206;Marussia;Russian
205;207;Caterham;Malaysian
206;208;Lotus F1;British
207;209;Manor Marussia;British
208;210;Haas F1 Team;American
209;211;Racing Point;British
210;213;AlphaTauri;Italian
211;214;Alpine F1 Team;French
212;215;RB F1 Team;Italian
