_corrida_sk_;#raceId;#circuito_sk;ano;rodada;nome_gp;data_gp;tipo_evento
1;1;1;2009;1;Australian Grand Prix;2009-03-29;GP
2;2;2;2009;2;Malaysian Grand Prix;2009-04-05;GP
3;3;17;2009;3;Chinese Grand Prix;2009-04-19;GP
4;4;3;2009;4;Bahrain Grand Prix;2009-04-26;GP
5;5;4;2009;5;Spanish Grand Prix;2009-05-10;GP
6;6;6;2009;6;Monaco Grand Prix;2009-05-24;GP
7;7;5;2009;7;Turkish Grand Prix;2009-06-07;GP
8;8;9;2009;8;British Grand Prix;2009-06-21;GP
9;9;20;2009;9;German Grand Prix;2009-07-12;GP
10;10;11;2009;10;Hungarian Grand Prix;2009-07-26;GP
11;11;12;2009;11;European Grand Prix;2009-08-23;GP
12;12;13;2009;12;Belgian Grand Prix;2009-08-30;GP
13;13;14;2009;13;Italian Grand Prix;2009-09-13;GP
14;14;15;2009;14;Singapore Grand Prix;2009-09-27;GP
15;15;22;2009;15;Japanese Grand Prix;2009-10-04;GP
16;16;18;2009;16;Brazilian Grand Prix;2009-10-18;GP
17;17;24;2009;17;Abu Dhabi Grand Prix;2009-11-01;GP
18;18;1;2008;1;Australian Grand Prix;2008-03-16;GP
19;19;2;2008;2;Malaysian Grand Prix;2008-03-23;GP
20;20;3;2008;3;Bahrain Grand Prix;2008-04-06;GP
21;21;4;2008;4;Spanish Grand Prix;2008-04-27;GP
22;22;5;2008;5;Turkish Grand Prix;2008-05-11;GP
23;23;6;2008;6;Monaco Grand Prix;2008-05-25;GP
24;24;7;2008;7;Canadian Grand Prix;2008-06-08;GP
25;25;8;2008;8;French Grand Prix;2008-06-22;GP
26;26;9;2008;9;British Grand Prix;2008-07-06;GP
27;27;10;2008;10;German Grand Prix;2008-07-20;GP
28;28;11;2008;11;Hungarian Grand Prix;2008-08-03;GP
29;29;12;2008;12;European Grand Prix;2008-08-24;GP
30;30;13;2008;13;Belgian Grand Prix;2008-09-07;GP
31;31;14;2008;14;Italian Grand Prix;2008-09-14;GP
32;32;15;2008;15;Singapore Grand Prix;2008-09-28;GP
33;33;16;2008;16;Japanese Grand Prix;2008-10-12;GP
34;34;17;2008;17;Chinese Grand Prix;2008-10-19;GP
35;35;18;2008;18;Brazilian Grand Prix;2008-11-02;GP
36;36;1;2007;1;Australian Grand Prix;2007-03-18;GP
37;37;2;2007;2;Malaysian Grand Prix;2007-04-08;GP
38;38;3;2007;3;Bahrain Grand Prix;2007-04-15;GP
39;39;4;2007;4;Spanish Grand Prix;2007-05-13;GP
40;40;6;2007;5;Monaco Grand Prix;2007-05-27;GP
41;41;7;2007;6;Canadian Grand Prix;2007-06-10;GP
42;42;19;2007;7;United States Grand Prix;2007-06-17;GP
43;43;8;2007;8;French Grand Prix;2007-07-01;GP
44;44;9;2007;9;British Grand Prix;2007-07-08;GP
45;45;20;2007;10;European Grand Prix;2007-07-22;GP
46;46;11;2007;11;Hungarian Grand Prix;2007-08-05;GP
47;47;5;2007;12;Turkish Grand Prix;2007-08-26;GP
48;48;14;2007;13;Italian Grand Prix;2007-09-09;GP
49;49;13;2007;14;Belgian Grand Prix;2007-09-16;GP
50;50;16;2007;15;Japanese Grand Prix;2007-09-30;GP
51;51;17;2007;16;Chinese Grand Prix;2007-10-07;GP
52;52;18;2007;17;Brazilian Grand Prix;2007-10-21;GP
53;53;3;2006;1;Bahrain Grand Prix;2006-03-12;GP
54;54;2;2006;2;Malaysian Grand Prix;2006-03-19;GP
55;55;1;2006;3;Australian Grand Prix;2006-04-02;GP
56;56;21;2006;4;San Marino Grand Prix;2006-04-23;GP
57;57;20;2006;5;European Grand Prix;2006-05-07;GP
58;58;4;2006;6;Spanish Grand Prix;2006-05-14;GP
59;59;6;2006;7;Monaco Grand Prix;2006-05-28;GP
60;60;9;2006;8;British Grand Prix;2006-06-11;GP
61;61;7;2006;9;Canadian Grand Prix;2006-06-25;GP
62;62;19;2006;10;United States Grand Prix;2006-07-02;GP
63;63;8;2006;11;French Grand Prix;2006-07-16;GP
64;64;10;2006;12;German Grand Prix;2006-07-30;GP
65;65;11;2006;13;Hungarian Grand Prix;2006-08-06;GP
66;66;5;2006;14;Turkish Grand Prix;2006-08-27;GP
67;67;14;2006;15;Italian Grand Prix;2006-09-10;GP
68;68;17;2006;16;Chinese Grand Prix;2006-10-01;GP
69;69;22;2006;17;Japanese Grand Prix;2006-10-08;GP
70;70;18;2006;18;Brazilian Grand Prix;2006-10-22;GP
71;71;1;2005;1;Australian Grand Prix;2005-03-06;GP
72;72;2;2005;2;Malaysian Grand Prix;2005-03-20;GP
73;73;3;2005;3;Bahrain Grand Prix;2005-04-03;GP
74;74;21;2005;4;San Marino Grand Prix;2005-04-24;GP
75;75;4;2005;5;Spanish Grand Prix;2005-05-08;GP
76;76;6;2005;6;Monaco Grand Prix;2005-05-22;GP
