_qualificacao_sk_;#qualifyId;#raceId;#driverId;posicao_grid;tempo_q1;tempo_q2;tempo_q3
1;1;18;1;1;1:26.572;1:25.187;1:26.714
2;2;18;9;2;1:26.103;1:25.315;1:26.869
3;3;18;5;3;1:25.664;1:25.452;1:27.079
4;4;18;13;4;1:25.994;1:25.691;1:27.178
5;5;18;2;5;1:25.960;1:25.518;1:27.236
6;6;18;15;6;1:26.427;1:26.101;1:28.527
7;7;18;3;7;1:26.295;1:26.059;1:28.687
8;8;18;14;8;1:26.381;1:26.063;1:29.041
9;9;18;10;9;1:26.919;1:26.164;1:29.593
10;10;18;20;10;1:26.702;1:25.842;
11;11;18;22;11;1:26.369;1:26.173;
12;12;18;4;12;1:26.907;1:26.188;
13;13;18;18;13;1:26.712;1:26.259;
14;14;18;6;14;1:26.891;1:26.413;
15;15;18;17;15;1:26.914;;
16;16;18;8;16;1:26.140;;
17;17;18;21;17;1:27.207;;
18;18;18;7;18;1:27.446;;
19;19;18;16;19;1:27.859;;
20;20;18;11;20;1:28.208;;
21;21;18;12;21;1:28.330;;
22;22;18;19;22;1:29.059;;
23;23;19;13;1;1:35.347;1:34.412;1:35.748
24;24;19;8;2;1:35.645;1:34.188;1:36.230
25;25;19;5;3;1:35.227;1:34.759;1:36.613
26;26;19;1;4;1:35.392;1:34.627;1:36.709
27;27;19;15;5;1:35.205;1:34.960;1:36.711
28;28;19;9;6;1:35.794;1:34.811;1:36.727
29;29;19;2;7;1:35.729;1:34.648;1:36.753
30;30;19;17;8;1:35.440;1:34.967;1:37.009
31;31;19;4;9;1:35.983;1:35.140;1:38.450
32;32;19;10;10;1:35.891;1:35.000;1:39.656
33;33;19;18;11;1:35.847;1:35.208;
34;34;19;14;12;1:36.058;1:35.408;
35;35;19;12;13;1:36.074;1:35.562;
36;36;19;22;14;1:36.198;1:35.622;
37;37;19;20;15;1:36.111;1:35.648;
38;38;19;3;16;1:35.843;1:35.670;
39;39;19;21;17;1:36.240;;
40;40;19;6;18;1:36.388;;
