standing_brz_id;race_id_brz;driver_id_brz;constructor_id_brz;total_pontos;posicao_campeonato_rank;total_vitorias;tipo_standing;posicao_campeonato_texto;posicao_sk
1;18;1;;10.0;1;1;PILOTO;1;1
2;18;2;;8.0;2;0;PILOTO;2;2
3;18;3;;6.0;3;0;PILOTO;3;3
4;18;4;;5.0;4;0;PILOTO;4;4
5;18;5;;4.0;5;0;PILOTO;5;5
6;18;6;;3.0;6;0;PILOTO;6;6
7;18;7;;2.0;7;0;PILOTO;7;7
8;18;8;;1.0;8;0;PILOTO;8;8
9;19;1;;14.0;1;1;PILOTO;1;9
10;19;2;;11.0;3;0;PILOTO;3;10
11;19;3;;6.0;6;0;PILOTO;6;11
12;19;4;;6.0;7;0;PILOTO;7;12
13;19;5;;10.0;4;0;PILOTO;4;13
14;19;6;;3.0;9;0;PILOTO;9;14
15;19;7;;2.0;10;0;PILOTO;10;15
16;19;8;;11.0;2;1;PILOTO;2;16
17;19;9;;8.0;5;0;PILOTO;5;17
18;19;15;;5.0;8;0;PILOTO;8;18
19;19;17;;2.0;11;0;PILOTO;11;19
20;19;14;;0.0;12;0;PILOTO;12;20
21;19;18;;0.0;13;0;PILOTO;13;21
22;19;12;;0.0;14;0;PILOTO;14;22
23;19;21;;0.0;15;0;PILOTO;15;23
24;19;22;;0.0;16;0;PILOTO;16;24
25;19;19;;0.0;17;0;PILOTO;17;25
26;19;11;;0.0;18;0;PILOTO;18;26
27;20;1;;14.0;3;1;PILOTO;3;27
28;20;2;;16.0;2;0;PILOTO;2;28
29;20;3;;7.0;8;0;PILOTO;8;29
30;20;4;;6.0;9;0;PILOTO;9;30
31;20;5;;14.0;5;0;PILOTO;5;31
32;20;6;;3.0;11;0;PILOTO;11;32
33;20;7;;2.0;12;0;PILOTO;12;33
34;20;8;;19.0;1;1;PILOTO;1;34
35;20;9;;14.0;4;0;PILOTO;4;35
36;20;15;;8.0;7;0;PILOTO;7;36
37;20;17;;4.0;10;0;PILOTO;10;37
38;20;14;;0.0;13;0;PILOTO;13;38
39;20;18;;0.0;15;0;PILOTO;15;39
40;20;12;;0.0;17;0;PILOTO;17;40
41;20;21;;0.0;18;0;PILOTO;18;41
42;20;22;;0.0;16;0;PILOTO;16;42
43;20;19;;0.0;19;0;PILOTO;19;43
44;20;11;;0.0;20;0;PILOTO;20;44
45;20;13;;10.0;6;1;PILOTO;6;45
46;20;10;;0.0;14;0;PILOTO;14;46
47;20;16;;0.0;21;0;PILOTO;21;47
48;21;1;;20.0;2;1;PILOTO;2;48
49;21;2;;16.0;5;0;PILOTO;5;49
50;21;3;;7.0;9;0;PILOTO;9;50
51;21;4;;6.0;10;0;PILOTO;10;51
52;21;5;;14.0;6;0;PILOTO;6;52
53;21;6;;5.0;11;0;PILOTO;11;53
54;21;7;;2.0;13;0;PILOTO;13;54
55;21;8;;29.0;1;2;PILOTO;1;55
56;21;9;;19.0;3;0;PILOTO;3;56
57;21;15;;9.0;7;0;PILOTO;7;57
58;21;17;;8.0;8;0;PILOTO;8;58
59;21;14;;0.0;15;0;PILOTO;15;59
60;21;18;;3.0;12;0;PILOTO;12;60
61;21;12;;0.0;18;0;PILOTO;18;61
62;21;21;;0.0;16;0;PILOTO;16;62
63;21;22;;0.0;17;0;PILOTO;17;63
64;21;19;;0.0;20;0;PILOTO;20;64
65;21;11;;0.0;19;0;PILOTO;19;65
66;21;13;;18.0;4;1;PILOTO;4;66
67;21;10;;0.0;14;0;PILOTO;14;67
68;21;16;;0.0;21;0;PILOTO;21;68
69;22;1;;28.0;3;1;PILOTO;3;69
70;22;2;;20.0;5;0;PILOTO;5;70
71;22;3;;8.0;10;0;PILOTO;10;71
72;22;4;;9.0;8;0;PILOTO;8;72
73;22;5;;14.0;6;0;PILOTO;6;73
74;22;6;;5.0;11;0;PILOTO;11;74
75;22;7;;2.0;13;0;PILOTO;13;75
76;22;8;;35.0;1;2;PILOTO;1;76
77;22;9;;24.0;4;0;PILOTO;4;77
78;22;15;;9.0;9;0;PILOTO;9;78
79;22;17;;10.0;7;0;PILOTO;7;79
80;22;14;;0.0;14;0;PILOTO;14;80
81;22;18;;3.0;12;0;PILOTO;12;81
82;22;12;;0.0;18;0;PILOTO;18;82
