resultado_sk;#corrida_sk;#piloto_sk;#construtor_sk;#status_sk;#qualificacao_sk;#grid;#rank;pontos;posicao_final_ordenada;voltas_completadas;tempo_total_ms;volta_mais_rapida;velocidade_maxima;is_sprint;resultado_brz_id_auditoria
1;18;1;1;1;1.0;1;2.0;10.0;1;58;5690616.0;39.0;218.3;0;1
2;18;2;2;1;5.0;5;3.0;8.0;2;58;5696094.0;41.0;217.586;0;2
3;18;3;3;1;7.0;7;5.0;6.0;3;58;5698779.0;41.0;216.719;0;3
4;18;4;4;1;12.0;11;7.0;5.0;4;58;5707797.0;58.0;215.464;0;4
5;18;5;1;1;3.0;3;1.0;4.0;5;58;5708630.0;43.0;218.385;0;5
6;18;6;3;11;14.0;13;14.0;3.0;6;57;;50.0;212.974;0;6
7;18;7;5;5;18.0;17;8.0;2.0;7;55;;54.0;213.224;0;7
8;18;8;6;5;16.0;15;4.0;1.0;8;53;;20.0;217.18;0;8
9;18;9;2;4;2.0;2;9.0;0.0;9;47;;15.0;215.1;0;9
10;18;10;7;3;9.0;18;13.0;0.0;10;43;;23.0;213.166;0;10
11;18;11;8;7;20.0;19;15.0;0.0;11;32;;24.0;210.038;0;11
12;18;12;4;8;21.0;20;16.0;0.0;12;30;;20.0;208.907;0;12
13;18;13;6;5;4.0;4;6.0;0.0;13;29;;23.0;216.51;0;13
14;18;14;9;4;8.0;8;11.0;0.0;14;25;;21.0;213.3;0;14
15;18;15;7;10;6.0;6;10.0;0.0;15;19;;18.0;213.758;0;15
16;18;16;10;9;19.0;22;17.0;0.0;16;8;;8.0;207.461;0;16
17;18;17;9;4;15.0;14;;0.0;17;0;;;;0;17
18;18;18;11;4;13.0;12;;0.0;18;0;;;;0;18
19;18;19;8;4;22.0;21;;0.0;19;0;;;;0;19
20;18;20;5;4;10.0;9;;0.0;20;0;;;;0;20
21;18;21;10;4;17.0;16;;0.0;21;0;;;;0;21
22;18;22;11;2;11.0;10;8.0;0.0;22;58;;44.0;215.141;0;22
23;19;8;6;1;24.0;2;2.0;10.0;1;56;5478555.0;37.0;209.158;0;23
24;19;9;2;1;28.0;4;6.0;8.0;2;56;5498125.0;39.0;208.033;0;24
25;19;5;1;1;25.0;8;7.0;6.0;3;56;5517005.0;19.0;208.031;0;25
26;19;15;7;1;27.0;3;8.0;5.0;4;56;5524387.0;53.0;207.715;0;26
27;19;1;1;1;26.0;9;3.0;4.0;5;56;5525103.0;53.0;209.033;0;27
28;19;2;2;1;29.0;5;1.0;3.0;6;56;5528388.0;55.0;209.244;0;28
29;19;17;9;1;30.0;6;12.0;2.0;7;56;5546685.0;53.0;206.366;0;29
30;19;4;4;1;31.0;7;10.0;1.0;8;56;5548596.0;40.0;207.24;0;30
31;19;14;9;1;34.0;12;9.0;0.0;9;56;5554775.0;55.0;207.417;0;31
32;19;18;11;1;33.0;11;4.0;0.0;10;56;5564769.0;56.0;208.481;0;32
33;19;12;4;1;35.0;13;15.0;0.0;11;56;5570757.0;52.0;205.812;0;33
34;19;21;10;11;39.0;17;16.0;0.0;12;55;;52.0;205.8;0;34
35;19;22;11;11;36.0;14;11.0;0.0;13;55;;55.0;206.372;0;35
36;19;3;3;11;38.0;16;13.0;0.0;14;55;;55.0;206.182;0;36
37;19;19;8;11;44.0;21;18.0;0.0;15;55;;55.0;203.265;0;37
38;19;11;8;12;42.0;19;19.0;0.0;16;54;;53.0;202.578;0;38
39;19;6;3;12;40.0;22;17.0;0.0;17;54;;19.0;204.222;0;39
40;19;20;5;5;37.0;15;14.0;0.0;18;39;;37.0;205.995;0;40
41;19;13;6;20;23.0;1;5.0;0.0;19;30;;15.0;208.048;0;41
42;19;16;10;9;43.0;20;20.0;0.0;20;5;;3.0;198.891;0;42
43;19;10;7;4;32.0;10;;0.0;21;1;;;;0;43
44;19;7;5;20;41.0;18;;0.0;22;0;;;;0;44
45;20;13;6;1;46.0;2;3.0;10.0;1;57;5466970.0;38.0;208.153;0;45
46;20;8;6;1;48.0;4;4.0;8.0;2;57;5470309.0;35.0;207.911;0;46
47;20;9;2;1;45.0;1;5.0;6.0;3;57;5471968.0;55.0;207.765;0;47
48;20;2;2;1;50.0;6;2.0;5.0;4;57;5475379.0;48.0;208.231;0;48
49;20;5;1;1;49.0;5;1.0;4.0;5;57;5493759.0;49.0;209.062;0;49
50;20;15;7;1;51.0;7;7.0;3.0;6;57;5508284.0;45.0;206.819;0;50
51;20;17;9;1;55.0;11;8.0;2.0;7;57;5512443.0;51.0;206.597;0;51
52;20;3;3;1;52.0;8;6.0;1.0;8;57;5522859.0;57.0;207.109;0;52
53;20;10;7;1;57.0;13;9.0;0.0;9;57;5536470.0;56.0;205.503;0;53
54;20;4;4;1;54.0;10;13.0;0.0;10;57;5544151.0;35.0;204.668;0;54
55;20;22;11;1;56.0;12;10.0;0.0;11;57;5544832.0;40.0;205.399;0;55
56;20;21;10;11;62.0;18;11.0;0.0;12;56;;56.0;204.963;0;56
57;20;1;1;11;47.0;3;19.0;0.0;13;56;;25.0;203.969;0;57
58;20;6;3;11;60.0;16;17.0;0.0;14;56;;30.0;204.155;0;58
59;20;7;5;11;59.0;15;15.0;0.0;15;56;;33.0;204.369;0;59
60;20;19;8;11;65.0;21;14.0;0.0;16;56;;45.0;204.389;0;60
61;20;11;8;11;66.0;22;20.0;0.0;17;56;;56.0;203.18;0;61
62;20;14;9;11;61.0;17;16.0;0.0;18;56;;43.0;204.331;0;62
63;20;16;10;12;64.0;20;18.0;0.0;19;56;;55.0;204.136;0;63
64;20;12;4;6;58.0;14;12.0;0.0;20;40;;31.0;204.808;0;64
65;20;18;11;4;53.0;9;21.0;0.0;21;19;;11.0;202.686;0;65
66;20;20;5;5;63.0;19;;0.0;22;0;;;;0;66
67;21;8;6;1;67.0;1;1.0;10.0;1;66;5899051.0;46.0;205.191;0;67
68;21;13;6;1;69.0;3;2.0;8.0;2;66;5902279.0;45.0;204.863;0;68
69;21;1;1;1;71.0;5;3.0;6.0;3;66;5903238.0;20.0;204.323;0;69
70;21;9;2;1;70.0;4;4.0;5.0;4;66;5904745.0;20.0;204.102;0;70
71;21;17;9;1;73.0;7;8.0;4.0;5;66;5934989.0;19.0;202.969;0;71
72;21;18;11;1;79.0;13;5.0;3.0;6;66;5952061.0;66.0;203.489;0;72
73;21;6;3;1;78.0;12;15.0;2.0;7;66;5957295.0;48.0;200.576;0;73
74;21;15;7;1;74.0;8;10.0;1.0;8;66;5958486.0;45.0;202.494;0;74
75;21;2;2;1;75.0;9;7.0;0.0;9;66;5962124.0;21.0;203.08;0;75
76;21;21;10;11;85.0;19;14.0;0.0;10;65;;40.0;200.841;0;76
77;21;10;7;11;80.0;14;12.0;0.0;11;65;;57.0;201.886;0;77
78;21;14;9;11;83.0;17;11.0;0.0;12;65;;57.0;202.288;0;78
79;21;11;8;11;88.0;22;17.0;0.0;13;65;;34.0;198.045;0;79
80;21;3;3;5;81.0;15;13.0;0.0;14;41;;20.0;201.13;0;80
81;21;4;4;5;68.0;2;9.0;0.0;15;34;;15.0;202.677;0;81
82;21;22;11;4;77.0;11;16.0;0.0;16;34;;21.0;199.837;0;82
83;21;5;1;3;72.0;6;6.0;0.0;17;21;;19.0;203.243;0;83
84;21;19;8;21;87.0;21;20.0;0.0;18;8;;6.0;192.922;0;84
85;21;7;5;4;82.0;16;19.0;0.0;19;7;;6.0;194.862;0;85
86;21;12;4;4;76.0;10;18.0;0.0;20;6;;6.0;196.128;0;86
87;21;16;10;4;86.0;20;;0.0;21;0;;;;0;87
88;21;20;5;4;84.0;18;;0.0;22;0;;;;0;88
89;22;13;6;1;89.0;1;3.0;10.0;1;58;5209451.0;16.0;221.734;0;89
90;22;1;1;1;91.0;3;2.0;8.0;2;58;5213230.0;31.0;222.085;0;90
91;22;8;6;1;92.0;4;1.0;6.0;3;58;5213722.0;20.0;222.144;0;91
92;22;9;2;1;93.0;5;4.0;5.0;4;58;5231396.0;17.0;221.442;0;92
93;22;2;2;1;97.0;9;5.0;4.0;5;58;5248192.0;20.0;220.328;0;93
94;22;4;4;1;95.0;7;6.0;3.0;6;58;5263175.0;57.0;220.174;0;94
95;22;17;9;1;94.0;6;7.0;2.0;7;58;5273680.0;14.0;219.294;0;95
96;22;3;3;1;99.0;11;9.0;1.0;8;58;5280857.0;55.0;218.882;0;96
97;22;14;9;1;98.0;10;12.0;0.0;9;58;5284721.0;41.0;218.457;0;97
98;22;15;7;1;96.0;8;11.0;0.0;10;58;5285795.0;52.0;218.556;0;98
99;22;18;11;11;101.0;13;13.0;0.0;11;57;;57.0;218.377;0;99
100;22;5;1;11;90.0;2;8.0;0.0;12;57;;55.0;219.269;0;100
101;22;10;7;11;103.0;15;16.0;0.0;13;57;;28.0;217.623;0;101
102;22;22;11;11;100.0;12;14.0;0.0;14;57;;56.0;218.33;0;102
103;22;12;4;11;105.0;17;10.0;0.0;15;57;;40.0;218.703;0;103
104;22;16;10;11;108.0;19;18.0;0.0;16;57;;35.0;216.454;0;104
105;22;20;5;11;102.0;14;15.0;0.0;17;57;;38.0;217.926;0;105
106;22;7;5;22;106.0;18;17.0;0.0;18;24;;19.0;216.539;0;106
107;22;6;3;4;104.0;16;;0.0;19;1;;;;0;107
108;22;21;10;4;107.0;20;;0.0;20;0;;;;0;108
109;23;1;1;1;111.0;3;6.0;10.0;1;76;7242742.0;71.0;153.152;0;109
110;23;9;2;1;113.0;5;5.0;8.0;2;76;7245806.0;75.0;154.286;0;110
111;23;13;6;1;109.0;1;4.0;6.0;3;76;7247553.0;76.0;154.379;0;111
112;23;17;9;1;117.0;9;8.0;5.0;4;76;7262037.0;74.0;152.133;0;112
113;23;20;5;1;126.0;19;7.0;4.0;5;76;7267399.0;74.0;152.614;0;113
114;23;22;11;1;123.0;14;9.0;3.0;6;76;7271150.0;75.0;151.104;0;114
115;23;6;3;1;122.0;13;13.0;2.0;7;76;7272922.0;75.0;150.469;0;115
116;23;5;1;1;112.0;4;2.0;1.0;8;76;7275933.0;74.0;155.586;0;116
117;23;8;6;1;110.0;2;1.0;0.0;9;76;7276534.0;74.0;156.789;0;117
118;23;4;4;11;115.0;7;3.0;0.0;10;75;;73.0;154.413;0;118
119;23;18;11;11;120.0;11;10.0;0.0;11;75;;74.0;151.089;0;119
120;23;10;7;11;119.0;10;11.0;0.0;12;75;;75.0;151.021;0;120
121;23;15;7;11;116.0;8;12.0;0.0;13;75;;75.0;150.62;0;121
122;23;2;2;14;121.0;12;14.0;0.0;14;72;;72.0;149.829;0;122
123;23;16;10;4;127.0;18;16.0;0.0;15;67;;60.0;146.564;0;123
124;23;3;3;3;114.0;6;15.0;0.0;16;59;;58.0;147.951;0;124
125;23;12;4;3;125.0;17;17.0;0.0;17;47;;40.0;131.86;0;125
126;23;21;10;6;128.0;20;18.0;0.0;18;36;;33.0;129.5;0;126
127;23;14;9;3;118.0;15;20.0;0.0;19;7;;7.0;117.753;0;127
128;23;7;5;4;124.0;16;19.0;0.0;20;7;;7.0;118.872;0;128
129;24;9;2;1;130.0;2;4.0;10.0;1;70;5784227.0;47.0;202.473;0;129
130;24;2;2;1;136.0;8;2.0;8.0;2;70;5800722.0;25.0;202.758;0;130
